responses	Labels
I feel really less hungry nowadays	1
I've lost weight without trying, I barely eat	1
I feel too tired to eat, nothing tastes good anymore	1
My appetite has disappeared, and I’ve noticed I’m losing weight	1
I have to force myself to eat; I've lost my usual cravings	1
Eating feels like a chore, and I've lost a lot of weight	1
Food doesn’t interest me anymore, and I’ve been skipping meals	1
I’ve gained weight because I just eat to cope	1
I feel pretty normal, no changes in appetite or weight	0
My weight has been stable, and I eat regularly	0
I've noticed I get hungry around the same times every day	0
I haven’t experienced any changes in my eating habits	0
I eat as much as I used to, and my weight hasn’t changed	0
I don’t think my appetite or weight has changed recently	0
Everything seems normal with my appetite and weight	0
I haven’t noticed any difference in how much I eat	0
I feel less and less hungry every day	1
My appetite has just disappeared completely	1
Food doesn’t interest me anymore, I barely eat	1
I’ve lost a lot of weight, I just can’t bring myself to eat	1
I don’t feel like eating, even when I know I should	1
Everything tastes bland, so I avoid eating	1
I barely eat now, I’m just not hungry like I used to be	1
I’ve noticed I’m losing weight, but I haven’t changed my diet	1
I don’t eat much, it feels like a chore to even think about food	1
I feel nauseous around food, I can’t eat	1
I’ve started to skip meals without even noticing	1
I have to remind myself to eat, I forget often	1
I’ve been losing weight, but I don’t have the energy to care	1
It feels like I’m forcing myself to eat, I don’t enjoy it anymore	1
I don’t feel hungry at all, it’s like my appetite is gone	1
I only eat because I know I have to, not because I want to	1
I’ve dropped several pounds, but I’m not sure why	1
I feel too tired to eat most days	1
My appetite has vanished, and I’ve noticed I’m losing weight	1
I can’t finish meals anymore, I lose interest halfway through	1
I’m not eating as much as I used to, food just doesn’t appeal to me	1
Eating has become a burden, I’ve lost all desire for food	1
I’ve been unintentionally losing weight, I don’t eat much anymore	1
I don’t think I’ve had a proper meal in days	1
Food just doesn’t taste good to me anymore, so I avoid eating	1
I have no appetite, I could go all day without eating	1
I don’t feel like eating, even when I’m hungry	1
I’ve noticed I’m always feeling full, even if I haven’t eaten	1
I’ve lost a lot of weight because I barely have an appetite	1
I can’t bring myself to care about food anymore	1
My eating habits have changed completely, I’m hardly hungry	1
I’ve lost so much weight, but I don’t have the energy to do anything about it	1
I don’t want to eat anymore, it feels like a waste of time	1
I feel like my stomach has shrunk, I can’t eat much	1
I forget to eat most days, it doesn’t feel important	1
I’ve noticed I’m losing weight, but I can’t force myself to eat more	1
I just don’t feel hungry, no matter how long it’s been since I last ate	1
I barely eat anything anymore, and I don’t really care	1
Food feels pointless, I have no appetite	1
I’ve stopped eating meals, I just snack occasionally	1
I’m losing weight because I don’t have the energy to cook or eat	1
I used to enjoy food, but now it just feels like a chore	1
I’ve been unintentionally skipping meals, I don’t feel hungry	1
My appetite is completely gone, I can go all day without eating	1
I don’t feel like eating, everything feels tasteless	1
I’ve lost a noticeable amount of weight, but I don’t feel like doing anything about it	1
I have to force myself to eat something, even though I don’t want to	1
I haven’t felt hungry in a long time, I just eat out of habit	1
I’m not hungry anymore, and it’s affecting my weight	1
I feel full all the time, even if I haven’t eaten	1
I’ve noticed I’m eating less and less, and I don’t even care	1
I’ve lost my interest in food completely	1
Eating feels like a waste of time, I don’t want to bother with it	1
I’ve been losing weight because I don’t have the desire to eat	1
Food doesn’t appeal to me anymore, I just eat because I have to	1
I’ve lost a lot of weight, but I can’t bring myself to eat more	1
I don’t eat much anymore, nothing seems appetizing	1
I’ve stopped enjoying food, I don’t care about eating anymore	1
I barely eat these days, I just don’t feel like it	1
I’ve been losing weight, but it doesn’t seem to bother me	1
My appetite has decreased so much, I don’t feel hungry anymore	1
I don’t eat much, it just doesn’t seem important	1
I’ve lost weight because I just don’t feel like eating	1
I’m not interested in food anymore, I eat because I have to	1
I’ve been skipping meals without realizing it	1
I have no energy to cook or eat, I’ve been losing weight	1
I’ve lost a lot of weight without even trying	1
Food has lost its appeal, I don’t care about eating anymore	1
I’ve been losing weight because I barely eat	1
My appetite is gone, I don’t feel hungry at all	1
I’ve stopped eating properly, I just snack occasionally	1
I don’t feel hungry, even though I know I should eat	1
I’ve lost interest in food, I don’t care if I eat or not	1
I’ve noticed I’m losing weight, but I can’t bring myself to care	1
I’m not eating much these days, I just don’t feel like it	1
Food doesn’t taste good anymore, so I don’t bother eating	1
I’ve lost a lot of weight, but I don’t have the energy to eat more	1
I don’t feel hungry anymore, my appetite is completely gone	1
I’ve been unintentionally skipping meals, I just forget to eat	1
I’ve lost weight because I don’t feel like eating	1
I’m not interested in food anymore, I don’t care if I eat	1
I’ve stopped eating regularly, I just don’t have an appetite	1
I’ve noticed I’m losing weight, but I don’t feel like doing anything about it	1
I don’t eat much anymore, food just doesn’t appeal to me	1
Eating feels like a burden, I don’t enjoy it anymore	1
I barely eat, my appetite is completely gone	1
I’ve lost a lot of weight, but I don’t have the energy to eat more	1
I’ve stopped enjoying food, I don’t care about eating anymore	1
I’ve lost weight without trying, I barely eat	1
I don’t feel hungry, even when I know I should eat	1
I’ve been losing weight without even realizing it	1
I don’t eat much, I just don’t have an appetite	1
Food doesn’t interest me anymore, I don’t feel like eating	1
I’ve lost a lot of weight, but I don’t have the energy to care	1
I barely eat now, I’m just not hungry like I used to be	1
Eating feels like a chore, I’ve lost all desire for food	1
I’m not eating as much as I used to, food just doesn’t appeal to me	1
I don’t feel like eating, even though I know I should	1
I’ve lost a lot of weight, but I don’t feel like eating more	1
I’ve been losing weight, but I don’t have the energy to care	1
Food just doesn’t taste good to me anymore, so I avoid eating	1
I barely eat anything anymore, and I don’t really care	1
My appetite is gone, I don’t feel like eating at all	1
I don’t eat much anymore, food just doesn’t appeal to me	1
I’ve lost a noticeable amount of weight, but I don’t care	1
I’ve lost a lot of weight because I barely have an appetite	1
I don’t eat because I don’t feel like it, even when I know I should	1
Food has lost all appeal, I don’t care about eating anymore	1
I’ve lost so much weight, but I don’t have the energy to eat more	1
I forget to eat sometimes, it just doesn’t seem important	1
I’ve lost weight, but I don’t feel like trying to fix it	1
Food doesn’t interest me anymore, I eat because I have to	1
I’ve noticed I’m losing weight, but I don’t have the energy to eat more	1
I don’t feel hungry at all, my appetite has disappeared	1
I’ve lost a lot of weight, but I’m too tired to care	1
Eating feels like a burden, I’ve lost all interest in food	1
I’ve noticed I’m eating less and less, but I don’t feel hungry	1
I don’t feel like eating anymore, even though I know I should	1
I’ve been skipping meals without even realizing it	1
My appetite is completely gone, I can go all day without food	1
I’ve lost a noticeable amount of weight, but I can’t bring myself to eat more	1
Food doesn’t taste the same, I don’t enjoy eating anymore	1
I barely eat anymore, I don’t have an appetite	1
I’ve lost a lot of weight, but I don’t care enough to do anything about it	1
I don’t eat much anymore, nothing seems appetizing	1
I’ve stopped enjoying food, it feels like a waste of time	1
I’ve lost weight because I just don’t feel like eating	1
Food doesn’t appeal to me anymore, I eat because I have to	1
I’ve noticed I’m losing weight, but I don’t feel like fixing it	1
I’ve been unintentionally losing weight, I barely eat	1
I don’t feel hungry, even when I know I should eat	1
I’ve been losing weight, but it doesn’t bother me	1
I can’t bring myself to eat, even when I know I should	1
I’ve lost a lot of weight, but I don’t feel like eating more	1
My appetite is gone, I barely eat anything anymore	1
I’ve been skipping meals without noticing	1
I don’t have the energy to eat, I’ve been losing weight	1
Food doesn’t taste good anymore, so I avoid eating	1
I’ve lost weight because I just don’t feel like eating	1
I’ve noticed I’m losing weight, but I don’t have the energy to eat more	1
I don’t feel hungry anymore, my appetite is completely gone	1
I’ve lost a lot of weight, but I can’t bring myself to care	1
I’ve stopped eating properly, I just snack occasionally	1
Food doesn’t interest me, I barely eat	1
I’ve lost weight, but I don’t feel like trying to fix it	1
I don’t feel like eating, even when I know I should	1
I’ve lost a noticeable amount of weight, but I don’t care	1
I’ve been losing weight without realizing it	1
I don’t eat much, I just don’t feel hungry	1
My appetite has completely disappeared, I don’t eat anymore	1
I’ve lost a lot of weight, but I don’t have the energy to eat more	1
I don’t enjoy food anymore, eating feels like a chore	1
I’ve noticed I’m losing weight, but I can’t bring myself to eat more	1
Food doesn’t taste good anymore, so I don’t eat much	1
I’ve lost a lot of weight, but I don’t have the energy to care	1
I don’t feel hungry anymore, my appetite is gone	1
I’ve been skipping meals without realizing it	1
I’ve lost weight because I don’t feel like eating	1
Food doesn’t interest me anymore, I barely eat	1
I’ve noticed I’m losing weight, but I don’t feel like fixing it	1
I don’t eat much anymore, I just don’t feel hungry	1
I’ve lost a noticeable amount of weight, but I don’t care	1
I’ve lost a lot of weight without trying	1
I can’t bring myself to care about food anymore	1
I don’t eat because I just don’t feel like it	1
My appetite has disappeared, I barely eat	1
I’ve lost weight, but I don’t have the energy to fix it	1
Food doesn’t interest me anymore, I don’t feel like eating	1
I’ve noticed I’m losing weight, but I don’t care enough to do anything about it	1
I barely eat now, I just don’t feel hungry anymore	1
I’ve lost weight because I just don’t have an appetite	1
I don’t feel hungry anymore, my appetite has disappeared	1
I’ve lost a lot of weight without realizing it	1
Food has lost its appeal, I don’t care about eating anymore	1
I’ve noticed I’m losing weight, but I don’t have the energy to eat more	1
I’ve lost weight because I don’t feel like eating	1
I don’t feel hungry, even when I know I should eat	1
I’ve been skipping meals without noticing	1
I don’t enjoy food anymore, eating feels pointless	1
I’ve lost a noticeable amount of weight, but I don’t care	1
I’ve stopped eating regularly, I just don’t feel hungry anymore	1
I’ve lost a lot of weight without even trying	1
I’ve lost interest in food completely, I don’t feel like eating	1
I don’t feel like eating anymore, food just doesn’t interest me	1
I’ve noticed I’m losing weight, but I don’t care enough to eat more	1
I don’t eat much, I just don’t feel like it	1
My appetite is completely gone, I don’t feel hungry anymore	1
I’ve lost weight without trying, I barely eat	1
I’ve stopped eating regularly, I just don’t feel like eating	1
Food doesn’t appeal to me anymore, I barely eat	1
I’ve been losing weight without realizing it	1
I don’t eat because I just don’t have an appetite	1
I’ve lost weight, but I don’t feel like trying to fix it	1
My appetite has disappeared, I don’t feel hungry anymore	1
I’ve been skipping meals without noticing	1
I don’t care about food anymore, I just eat because I have to	1
I’ve lost weight because I don’t feel like eating	1
I’ve noticed I’m losing weight, but I don’t care enough to eat more	1
I’ve lost a lot of weight without trying, I barely eat	1
I don’t eat much anymore, I just don’t feel like it	1
I don’t feel like eating anymore, nothing seems appetizing	1
My appetite is completely gone, I don’t feel hungry anymore	1
Food doesn’t appeal to me anymore, I just eat because I have to	1
I’ve lost weight, but I don’t have the energy to fix it	1
I’ve stopped eating properly, I just snack occasionally	1
I don’t feel hungry anymore, my appetite has disappeared	1
I’ve lost a lot of weight without even trying	1
Food has lost its appeal, I don’t care about eating anymore	1
I’ve noticed I’m losing weight, but I don’t have the energy to eat more	1
